,Name,Platform,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
447,The Elder Scrolls IV: Oblivion,PS3,2007,1.69,0.85,0.14,0.43,3.1,93.0,45,8,604
448,The Legend of Zelda: A Link Between Worlds,3DS,2013,1.4,1.01,0.46,0.23,3.1,91.0,81,8.9,1057
449,Resident Evil 6,PS3,2012,0.88,0.94,0.88,0.4,3.1,74.0,34,5.4,1304
450,Mass Effect 2,X360,2010,1.99,0.81,0.03,0.27,3.1,96.0,98,8.9,3143
451,Dragon Ball Z: Budokai,PS2,2002,2.17,0.28,0.55,0.08,3.09,67.0,28,7.9,71
457,Animal Crossing: Happy Home Designer,3DS,2015,0.51,1.02,1.4,0.12,3.05,66.0,60,6.9,106
458,The Sims 4,PC,2014,1.0,1.82,0.0,0.23,3.05,70.0,74,3.9,2057
459,Borderlands 2,X360,2012,1.89,0.88,0.04,0.25,3.05,89.0,59,8.2,892
462,Mass Effect 3,X360,2012,1.94,0.84,0.03,0.24,3.04,93.0,74,5.8,3725
463,Heavy Rain,PS3,2010,1.29,1.21,0.06,0.47,3.03,87.0,107,7.7,2759
465,Saints Row 2,X360,2008,1.94,0.79,0.02,0.28,3.03,81.0,75,8.1,307
466,Tom Clancy's Splinter Cell,XB,2002,1.85,1.04,0.0,0.13,3.02,93.0,46,8.5,121
469,FIFA 14,PS4,2013,0.61,1.85,0.11,0.44,3.01,87.0,26,6.3,616
470,Killzone 2,PS3,2009,1.4,1.06,0.08,0.47,3.01,91.0,94,8.1,1505
471,Far Cry 3,X360,2012,1.38,1.32,0.02,0.28,3.0,91.0,39,8.6,1247
472,Epic Mickey,Wii,2010,2.04,0.63,0.12,0.22,3.0,73.0,78,7,131
473,NBA 2K13,X360,2012,2.6,0.2,0.01,0.19,3.0,88.0,41,7.2,131
474,Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,1.15,0.0,0.76,1.09,3.0,73.0,24,9.2,173
478,World Soccer Winning Eleven 6 International,PS2,2002,0.12,1.26,1.16,0.45,2.99,93.0,24,9.1,65
479,Devil May Cry,PS2,2001,1.36,0.86,0.64,0.13,2.99,94.0,37,8.5,466
480,Star Wars: The Old Republic,PC,2011,1.58,1.01,0.0,0.38,2.96,85.0,73,5.9,2748
481,Middle-Earth: Shadow of Mordor,PS4,2014,1.01,1.43,0.05,0.47,2.96,84.0,85,8.1,1886
482,Sonic Heroes,PS2,2003,1.04,1.37,0.06,0.49,2.96,64.0,29,7.8,94
483,Hitman 2: Silent Assassin,PS2,2002,1.36,1.15,0.04,0.41,2.96,85.0,19,7.8,78
484,Titanfall,XOne,2014,1.84,0.8,0.04,0.27,2.95,86.0,68,6.4,2658
485,Battlefield: Bad Company 2,PS3,2010,1.33,1.1,0.08,0.44,2.95,88.0,59,8.5,572
487,SOCOM II: U.S. Navy SEALs,PS2,2003,2.22,0.51,0.06,0.15,2.94,87.0,42,9,93
490,Street Fighter IV,X360,2009,1.82,0.7,0.15,0.26,2.94,93.0,77,7.3,292
491,inFAMOUS,PS3,2009,1.76,0.68,0.12,0.37,2.93,85.0,98,8.3,1172
492,Kirby Super Star Ultra,DS,2008,1.55,0.04,1.19,0.15,2.92,76.0,40,8.8,76
496,Mass Effect,X360,2007,1.83,0.79,0.03,0.27,2.91,91.0,74,8.7,1692
502,Call of Duty: Finest Hour,PS2,2004,1.51,1.12,0.01,0.24,2.89,76.0,49,7.7,69
503,WarioWare: Smooth Moves,Wii,2006,0.86,1.04,0.73,0.26,2.89,83.0,61,7.4,179
507,Madden NFL 13,X360,2012,2.53,0.15,0.0,0.17,2.86,81.0,36,5.8,179
508,The Elder Scrolls III: Morrowind,XB,2002,2.09,0.63,0.03,0.11,2.86,87.0,34,8.7,111
509,Assassin's Creed IV: Black Flag,PS4,2013,1.07,1.31,0.06,0.42,2.85,83.0,29,7.8,1530
513,Mortal Kombat,PS3,2011,1.98,0.53,0.0,0.34,2.84,84.0,60,8.4,494
514,Madden NFL 10,X360,2009,2.52,0.09,0.0,0.22,2.83,85.0,58,6.1,90
516,BioShock,X360,2007,1.65,0.85,0.05,0.28,2.83,96.0,88,8.9,2249
517,Metroid Prime,GC,2002,1.96,0.67,0.1,0.09,2.82,97.0,70,9.3,747
518,Assassin's Creed: Brotherhood,PS3,2010,1.87,0.55,0.11,0.29,2.82,90.0,59,8.2,791
522,Medal of Honor,PS3,2010,1.28,1.04,0.07,0.42,2.81,75.0,56,7.5,286
529,inFAMOUS: Second Son,PS4,2014,1.28,0.98,0.07,0.46,2.79,80.0,90,7.9,2944
534,Jak II,PS2,2003,1.68,0.74,0.0,0.36,2.78,87.0,47,8.2,241
536,Need for Speed: Hot Pursuit,PS3,2010,1.05,1.23,0.03,0.47,2.78,89.0,59,7.2,301
538,Battlefield 3,PC,2011,0.89,1.43,0.0,0.46,2.78,89.0,61,7.5,4926
539,Mortal Kombat X,PS4,2015,1.5,0.8,0.0,0.48,2.78,83.0,81,7.7,836
541,Killzone 3,PS3,2011,1.45,0.86,0.09,0.38,2.77,84.0,85,7.9,942
542,Star Wars: The Force Unleashed,X360,2008,1.74,0.77,0.0,0.26,2.77,73.0,74,6.7,389
544,Yoshi's Island DS,DS,2006,1.45,0.07,1.1,0.15,2.76,81.0,42,7.4,67
545,Saints Row: The Third,X360,2011,1.25,1.14,0.07,0.3,2.76,84.0,70,7.6,490
548,Tekken 6,PS3,2009,1.2,0.97,0.17,0.42,2.75,79.0,63,7.4,211
551,Sonic and the Secret Rings,Wii,2007,1.21,1.19,0.04,0.29,2.73,69.0,44,6.6,174
553,The Legend of Zelda: A Link to the Past,GBA,2002,1.75,0.52,0.33,0.1,2.7,95.0,30,9.1,314
554,Onimusha: Warlords,PS2,2001,0.99,0.48,1.09,0.14,2.7,86.0,23,8.2,56
556,L.A. Noire,X360,2011,1.52,0.92,0.02,0.24,2.7,89.0,83,7.8,893
557,Call of Duty 3,X360,2006,1.49,0.92,0.02,0.27,2.7,82.0,71,6.5,233
558,Madden NFL 12,X360,2011,2.42,0.11,0.0,0.16,2.69,78.0,55,5.9,94
560,Killzone: Shadow Fall,PS4,2013,0.89,1.33,0.08,0.39,2.69,73.0,88,6.8,2102
561,Madden NFL 11,X360,2010,2.38,0.12,0.0,0.18,2.69,84.0,47,5.7,120
562,Burnout 3: Takedown,PS2,2004,1.23,1.11,0.0,0.34,2.68,93.0,52,9.1,271
566,Professor Layton and the Last Specter,DS,2009,0.28,1.39,0.68,0.32,2.67,83.0,58,8.7,52
567,Call Of Duty 2: Big Red One,PS2,2005,1.48,0.92,0.01,0.26,2.67,77.0,39,8.2,69
568,Medal of Honor,PS,1998,1.44,1.09,0.0,0.14,2.67,92.0,17,8.6,80
569,Fable,XB,2004,1.99,0.58,0.0,0.09,2.66,85.0,87,8.5,268
570,Guitar Hero: World Tour,X360,2008,1.78,0.63,0.0,0.25,2.66,85.0,67,6.3,171
571,FIFA 17,XOne,2016,0.43,2.05,0.0,0.17,2.65,84.0,50,5.5,201
573,Tom Clancy's Splinter Cell,PS2,2003,1.15,1.11,0.0,0.4,2.65,89.0,24,7.7,102
575,Need for Speed: Shift,PS3,2009,0.69,1.4,0.04,0.52,2.65,84.0,55,6.9,113
578,Final Fantasy XIII-2,PS3,2011,0.78,0.73,0.89,0.23,2.63,79.0,53,6.6,707
580,Skate 3,X360,2010,1.47,0.93,0.0,0.24,2.63,80.0,65,8,127
581,ESPN NFL 2K5,PS2,2004,2.15,0.12,0.0,0.36,2.62,90.0,37,8.2,84
582,Halo Wars,X360,2009,1.54,0.8,0.04,0.24,2.62,82.0,92,7.2,454
583,NBA 2K12,X360,2011,2.31,0.14,0.01,0.16,2.62,90.0,42,7.7,134
585,FIFA Soccer 10,X360,2009,0.59,1.79,0.01,0.23,2.62,90.0,63,7.5,133
586,Medal of Honor,X360,2010,1.56,0.8,0.04,0.21,2.61,74.0,71,6.7,288
589,God of War Collection,PS3,2009,1.7,0.44,0.06,0.4,2.6,91.0,50,8.7,529
591,Mario Strikers Charged,Wii,2007,1.05,1.05,0.24,0.24,2.58,79.0,47,8,124
592,FIFA Soccer 09,PS3,2008,0.48,1.63,0.04,0.43,2.58,87.0,42,7.5,108
594,WWE SmackDown vs. RAW 2007,PS2,2006,1.4,0.88,0.03,0.26,2.58,80.0,27,8.6,57
595,LEGO Star Wars: The Complete Saga,X360,2007,1.53,0.81,0.0,0.24,2.57,80.0,24,7.4,114
598,Monster Hunter Freedom 2,PSP,2007,0.37,0.27,1.75,0.18,2.57,72.0,38,8.7,83
601,Sonic Adventure 2 Battle,GC,2001,1.7,0.59,0.21,0.07,2.56,73.0,28,8.3,179
604,Madden NFL 13,PS3,2012,2.11,0.22,0.0,0.23,2.56,83.0,22,5.5,101
605,Dragon Age: Origins,X360,2009,1.76,0.55,0.03,0.22,2.56,86.0,68,7.9,725
606,Pokémon Colosseum,GC,2003,1.21,0.57,0.7,0.07,2.54,73.0,37,8,89
607,LittleBigPlanet,PSP,2009,0.64,1.22,0.01,0.67,2.54,87.0,68,7.8,98
608,Madden NFL 09,X360,2008,2.21,0.12,0.0,0.2,2.53,83.0,50,7,125
612,NBA 2K14,X360,2013,2.1,0.19,0.0,0.23,2.52,87.0,23,4.9,150
619,Marvel: Ultimate Alliance,X360,2006,2.29,0.02,0.0,0.19,2.5,82.0,68,7.5,120
621,Mortal Kombat: Deadly Alliance,PS2,2002,1.81,0.52,0.0,0.15,2.49,79.0,31,8.8,96
623,Bloodborne,PS4,2015,1.03,0.81,0.26,0.38,2.48,92.0,100,8.6,6383
625,Mario Party 4,GC,2002,1.13,0.36,0.92,0.07,2.47,70.0,26,7.4,74
626,Pure,X360,2008,1.38,0.84,0.0,0.25,2.47,85.0,55,7.7,83
627,Rock Band,X360,0,1.93,0.33,0.0,0.21,2.47,92.0,72,8.2,178
628,NBA 2K13,PS3,2012,1.73,0.43,0.05,0.27,2.47,90.0,26,8,99
629,Saints Row: The Third,PS3,2011,0.86,1.04,0.18,0.38,2.47,82.0,50,7.7,384
630,Resistance 2,PS3,2008,1.15,0.84,0.1,0.38,2.46,87.0,79,6.1,1889
631,NBA 2K15,PS4,2014,1.47,0.54,0.01,0.43,2.45,83.0,50,7,291
633,Final Fantasy Tactics,PS,1997,0.93,0.12,1.34,0.06,2.45,83.0,12,8.2,190
634,Midnight Club: Los Angeles,PS3,2008,1.56,0.53,0.05,0.31,2.45,82.0,50,8.2,100
640,Call of Duty: Infinite Warfare,XOne,2016,1.46,0.74,0.0,0.22,2.42,78.0,17,3.1,290
641,Madden NFL 16,XOne,2015,2.08,0.08,0.0,0.26,2.42,84.0,23,6.1,124
644,Tom Clancy's Rainbow Six: Vegas 2,X360,2008,1.56,0.6,0.02,0.23,2.42,82.0,66,7.8,176
648,Dragon Ball Z: Budokai 2,PS2,2003,1.63,0.22,0.51,0.06,2.41,66.0,28,8.2,92
649,pro evolution soccer 2011,PS3,2010,0.29,1.17,0.54,0.41,2.41,77.0,40,6.8,85
650,ATV Offroad Fury,PS2,2001,2.07,0.26,0.0,0.08,2.41,82.0,16,8.4,53
653,Halo: Combat Evolved Anniversary,X360,2011,1.44,0.7,0.04,0.22,2.4,82.0,73,8.1,487
660,Guitar Hero,PS2,2005,1.67,0.61,0.03,0.07,2.38,91.0,65,8.7,173
661,Madden NFL 11,PS3,2010,2.04,0.15,0.0,0.2,2.38,83.0,36,6.1,68
664,Dead Island,X360,2011,1.48,0.69,0.0,0.2,2.37,71.0,75,6.9,627
665,Half-Life 2,PC,2004,2.28,0.02,0.08,0.0,2.37,96.0,81,9.1,8665
667,Madden NFL 08,X360,2007,2.18,0.01,0.0,0.18,2.37,85.0,46,6.4,108
668,Tony Hawk's Underground 2,PS2,2004,1.25,0.86,0.01,0.26,2.37,83.0,59,8.8,55
670,Madden NFL 10,PS3,2009,2.03,0.13,0.0,0.21,2.37,85.0,41,6.8,58
672,Midnight Club: Los Angeles,X360,2008,1.68,0.45,0.01,0.21,2.35,81.0,66,8.5,142
675,Kinect: Disneyland Adventures,X360,2011,1.73,0.43,0.02,0.17,2.35,73.0,33,2.9,67
677,The Legend of Zelda: Majora's Mask 3D,3DS,2015,1.15,0.55,0.47,0.17,2.34,89.0,82,9,478
679,Resident Evil - Code: Veronica X,PS2,2001,1.08,0.7,0.34,0.21,2.34,84.0,21,8.4,189
680,NBA 2K16,XOne,2015,1.95,0.15,0.0,0.24,2.34,86.0,14,6.2,115
685,James Bond 007: Everything or Nothing,PS2,2004,0.85,1.06,0.09,0.32,2.31,84.0,42,9.1,51
688,Guild Wars 2,PC,2012,0.96,1.07,0.0,0.27,2.31,90.0,69,7.9,2954
690,Paper Mario: Sticker Star,3DS,2012,1.12,0.41,0.64,0.14,2.3,75.0,69,5.6,382
692,Batman: Arkham Origins,PS3,2013,1.07,0.8,0.04,0.38,2.29,76.0,46,7.7,668
695,LEGO Star Wars: The Complete Saga,PS3,2007,1.02,0.9,0.0,0.36,2.29,80.0,18,6.7,87
697,Pro Evolution Soccer 2010,PS3,2009,0.3,1.27,0.46,0.26,2.28,78.0,42,6.7,76
701,The Sims 3,X360,2010,1.27,0.81,0.0,0.2,2.28,76.0,42,7.1,71
704,Dead Island,PS3,2011,1.08,0.73,0.15,0.31,2.27,71.0,41,6.6,405
705,Kirby: Nightmare in Dream Land,GBA,2002,1.22,0.1,0.91,0.04,2.27,81.0,24,8.9,54
708,Far Cry: Primal,PS4,2016,0.6,1.25,0.06,0.35,2.26,76.0,91,6.3,635
709,Battlefield 1,XOne,2016,1.28,0.77,0.0,0.2,2.25,87.0,37,8.2,440
710,Onimusha 2: Samurai's Destiny,PS2,2002,0.62,0.44,1.06,0.13,2.25,84.0,31,9,52
712,Paper Mario: The Thousand-Year Door,GC,2004,1.48,0.25,0.46,0.06,2.25,87.0,55,9.4,306
713,Madden NFL 12,PS3,2011,1.93,0.15,0.0,0.17,2.25,79.0,31,5.5,56
714,God of War: Ascension,PS3,2013,1.23,0.63,0.04,0.35,2.25,80.0,89,7.5,914
715,Guitar Hero III: Legends of Rock,PS3,2007,1.4,0.53,0.02,0.3,2.24,83.0,45,7.8,52
717,Super Monkey Ball: Banana Blitz,Wii,2006,1.05,0.91,0.04,0.24,2.24,74.0,53,5.7,72
719,Call of Duty 3,Wii,0,1.17,0.84,0.0,0.23,2.24,69.0,42,6.7,61
720,New Super Luigi U,WiiU,2013,1.25,0.62,0.18,0.18,2.24,77.0,59,7.9,288
723,Dissidia: Final Fantasy,PSP,2008,0.51,0.5,0.91,0.31,2.23,79.0,61,8,139
724,Madden NFL 25,X360,2013,1.98,0.06,0.0,0.19,2.23,80.0,32,5.6,136
727,Borderlands 2,PS3,2012,1.05,0.72,0.1,0.35,2.23,91.0,25,8.2,858
728,Prince of Persia: The Sands of Time,PS2,2003,0.88,1.03,0.0,0.31,2.22,92.0,44,8.8,204
729,Monster Hunter Tri,Wii,2009,0.65,0.4,1.05,0.11,2.22,84.0,70,8.6,219
730,LEGO Marvel Super Heroes,X360,2013,1.24,0.79,0.0,0.19,2.22,80.0,37,7.6,127
733,Tom Clancy's Rainbow Six: Siege,PS4,2015,0.55,1.19,0.14,0.33,2.21,73.0,40,7.3,480
734,Star Wars: The Force Unleashed,PS3,2008,1.01,0.85,0.0,0.35,2.21,71.0,47,6.6,233
737,Guitar Hero II,X360,2007,2.01,0.02,0.0,0.17,2.2,92.0,55,8.1,220
738,Forza Motorsport 5,XOne,2013,1.21,0.79,0.01,0.19,2.2,79.0,76,5.9,1095
739,Rock Band 2,X360,2008,1.78,0.24,0.0,0.18,2.2,92.0,69,8.3,156
742,Need for Speed: Hot Pursuit,X360,2010,1.03,0.96,0.0,0.21,2.2,88.0,73,7,206
744,BioShock 2,X360,2010,1.45,0.54,0.02,0.19,2.2,88.0,93,8.2,573
746,Star Wars: Knights of the Old Republic,XB,2003,1.68,0.44,0.0,0.08,2.19,94.0,72,9.2,317
749,Madden NFL 15,PS4,2014,1.54,0.25,0.0,0.4,2.19,81.0,37,6.1,208
750,Pro Evolution Soccer 2012,PS3,2011,0.34,0.96,0.55,0.33,2.19,80.0,41,6.6,132
751,Saints Row,X360,2006,1.17,0.77,0.02,0.22,2.18,81.0,74,7.5,211
754,FIFA 15,XOne,2014,0.6,1.42,0.0,0.16,2.18,82.0,33,5.4,347
758,Tom Clancy's The Division,XOne,2016,1.29,0.68,0.0,0.2,2.16,80.0,33,6.9,614
759,Final Fantasy XIII,X360,2010,1.28,0.67,0.01,0.21,2.16,82.0,54,6.3,539
761,Scribblenauts,DS,2009,1.67,0.3,0.02,0.18,2.16,79.0,72,7.6,110
762,Sonic Unleashed,Wii,2008,1.26,0.67,0.02,0.21,2.16,66.0,30,7.3,136
767,Overwatch,PS4,2016,0.81,0.85,0.15,0.33,2.14,90.0,31,6.1,1358
768,Hitman: Absolution,PS3,2012,0.59,1.05,0.07,0.44,2.14,83.0,30,7.5,511
776,Final Fantasy Tactics Advance,GBA,2003,0.82,0.37,0.89,0.05,2.13,87.0,44,7.8,212
780,NBA 2K12,PS3,2011,1.62,0.26,0.05,0.18,2.11,90.0,38,6.7,127
782,Need for Speed: Hot Pursuit 2,PS2,2002,1.68,0.31,0.02,0.09,2.11,89.0,31,8.5,92
784,Dynasty Warriors 4,PS2,2003,0.63,0.21,1.13,0.13,2.11,78.0,24,9.3,201
785,NBA 2K14,PS3,2013,1.44,0.31,0.04,0.32,2.11,84.0,26,4.9,142
786,Parasite Eve,PS,1998,0.94,0.07,1.05,0.04,2.1,81.0,17,8.9,89
790,Battlefield: Hardline,PS4,2015,0.71,0.94,0.14,0.32,2.1,73.0,46,5,845
791,Mortal Kombat,X360,2011,1.63,0.31,0.0,0.16,2.1,86.0,66,8.3,382
792,Borderlands,PS3,2009,1.2,0.6,0.0,0.29,2.09,83.0,58,7.9,427
793,Devil May Cry 3: Dante's Awakening,PS2,2005,0.99,0.63,0.29,0.19,2.09,84.0,60,9,212
795,NBA 2K11,X360,2010,1.84,0.12,0.01,0.13,2.09,89.0,50,8.1,100
797,Dying Light,PS4,2015,0.96,0.67,0.12,0.34,2.09,74.0,58,7.9,1287
799,Dead Rising,X360,2006,1.16,0.64,0.08,0.2,2.08,85.0,82,7.6,520
800,World of Warcraft: Cataclysm,PC,2010,1.77,0.32,0.0,0.0,2.08,90.0,53,5.6,953
802,Final Fantasy III,DS,2006,0.89,0.04,1.07,0.09,2.08,77.0,45,7.1,136
804,Mario Party 5,GC,2003,0.97,0.33,0.73,0.06,2.08,69.0,33,8.2,57
808,Portal 2,X360,2011,1.41,0.49,0.01,0.17,2.08,95.0,66,8.5,997
810,Need for Speed: Most Wanted 5-1-0,PSP,2005,1.77,0.12,0.02,0.17,2.07,72.0,21,7.8,54
814,DriveClub,PS4,2014,0.36,1.38,0.02,0.31,2.07,71.0,85,6.1,1571
816,UFC 2009 Undisputed,X360,2009,1.48,0.39,0.0,0.19,2.06,83.0,68,7.9,51
817,Metal Gear Solid: Peace Walker,PSP,2010,0.46,0.41,0.96,0.24,2.06,89.0,66,8.9,443
823,Kingdom Hearts: Birth by Sleep,PSP,2010,0.63,0.41,0.75,0.26,2.06,82.0,62,8.6,208
825,SoulCalibur II,PS2,2003,1.06,0.62,0.13,0.25,2.06,92.0,41,8.8,120
826,Need for Speed: ProStreet,X360,2007,1.04,0.79,0.01,0.21,2.05,72.0,42,7.1,78
830,Need For Speed: Undercover,PS3,2008,0.63,1.0,0.05,0.38,2.05,59.0,40,5.9,71
834,Peter Jackson's King Kong: The Official Game of the Movie,PS2,2005,0.71,1.02,0.0,0.31,2.04,82.0,41,8.2,68
836,Donkey Kong Country,GBA,2003,1.2,0.48,0.29,0.07,2.04,78.0,26,8.9,53
837,Dance Central 2,X360,2011,1.45,0.41,0.01,0.16,2.04,86.0,56,8.2,63
842,Call of Duty 2,X360,2005,1.82,0.04,0.01,0.16,2.03,89.0,65,8.1,307
844,Pokémon Mystery Dungeon: Blue Rescue Team,DS,2005,1.15,0.04,0.83,0.0,2.02,62.0,34,8.1,97
845,Dark Souls,PS3,2011,0.75,0.51,0.54,0.22,2.02,89.0,54,8.7,1397
848,Fire Emblem: Awakening,3DS,2012,0.9,0.45,0.54,0.13,2.01,92.0,72,9.1,1130
849,Need for Speed: The Run,PS3,2011,0.58,1.04,0.03,0.36,2.01,64.0,48,6.4,182
851,Dragon Age: Inquisition,PS4,2014,0.73,0.88,0.08,0.32,2.01,89.0,43,7.4,1984
853,Dead Space,PS3,2008,1.05,0.66,0.0,0.29,2.0,88.0,67,8.8,545
854,Mortal Kombat vs. DC Universe,PS3,2008,1.48,0.28,0.0,0.23,2.0,76.0,44,7.1,107
859,Kingdom Hearts 358/2 Days,DS,2009,1.06,0.26,0.53,0.13,1.98,75.0,53,7.8,162
860,Skate 3,PS3,2010,0.79,0.88,0.0,0.32,1.98,80.0,46,7.6,82
863,Need for Speed Rivals,PS4,2013,0.73,0.92,0.03,0.3,1.98,80.0,53,6.2,667
864,Spyro: Enter the Dragonfly,PS2,2002,0.74,0.95,0.0,0.28,1.97,56.0,20,4.1,95
865,Devil May Cry 2,PS2,2003,0.71,0.58,0.51,0.17,1.97,68.0,40,6.6,167
871,Forza Horizon,X360,2012,0.82,0.93,0.04,0.18,1.96,85.0,83,8.4,431
872,Tom Clancy's Rainbow Six: Vegas,X360,2006,1.09,0.65,0.02,0.2,1.95,88.0,69,8.3,225
873,Crash Nitro Kart,PS2,2003,0.74,1.01,0.0,0.2,1.95,69.0,24,7.7,59
874,Resident Evil 6,X360,2012,1.12,0.6,0.07,0.16,1.95,67.0,71,5,1407
875,Grand Theft Auto: San Andreas,XB,2005,1.26,0.61,0.0,0.09,1.95,93.0,58,8.6,118
877,NBA Street Vol. 2,PS2,2003,1.69,0.2,0.0,0.06,1.95,90.0,31,8.8,70
880,Burnout Paradise,PS3,2008,1.01,0.62,0.02,0.29,1.94,87.0,55,7.7,455
884,The Sims 3,PS3,2010,0.73,0.89,0.02,0.3,1.94,78.0,39,6.4,55
885,FIFA Soccer 09,X360,2008,0.49,1.26,0.01,0.18,1.94,87.0,51,8,106
886,Dragon Ball Z: Budokai 3,PS2,2004,1.09,0.15,0.65,0.04,1.94,77.0,32,8.9,137
887,Call of Duty: World at War,Wii,2008,1.17,0.58,0.0,0.18,1.94,83.0,19,7.6,78
890,BioShock Infinite,X360,2013,1.22,0.54,0.02,0.16,1.93,93.0,33,8.5,1647
891,X-Men Legends,PS2,2004,1.0,0.72,0.0,0.21,1.93,79.0,48,8.5,69
894,Mortal Kombat vs. DC Universe,X360,2008,1.53,0.23,0.0,0.16,1.93,72.0,61,7.5,87
895,Destiny: The Taken King,PS4,2015,0.78,0.79,0.04,0.31,1.93,86.0,81,6,1079
899,Red Faction,PS2,2001,0.76,0.96,0.0,0.2,1.92,88.0,25,8,69
901,Mario Party: Island Tour,3DS,2013,0.62,0.64,0.55,0.11,1.92,57.0,47,6.3,117
904,Guitar Hero: World Tour,PS3,2008,1.1,0.55,0.0,0.27,1.92,84.0,43,7.5,80
905,Need for Speed: Shift,X360,2009,0.73,0.96,0.01,0.22,1.91,83.0,75,6.5,134
907,Diablo III,PS3,2013,0.72,0.75,0.15,0.29,1.91,86.0,43,6.4,557
908,LittleBigPlanet 3,PS4,2014,0.66,0.93,0.01,0.31,1.91,79.0,78,7.1,506
909,Star Wars Rogue Leader: Rogue Squadron II,GC,2001,1.03,0.75,0.03,0.09,1.9,90.0,45,8.6,80
911,Mario Super Sluggers,Wii,2008,1.48,0.0,0.29,0.12,1.89,69.0,31,7.8,58
914,Madden NFL 09,PS3,2008,1.56,0.14,0.0,0.18,1.88,85.0,38,4.4,132
915,Batman: Arkham Origins,X360,2013,1.15,0.56,0.0,0.17,1.88,74.0,46,7.5,685
918,Mortal Kombat: Deception,PS2,2004,0.92,0.72,0.0,0.24,1.88,81.0,43,8.5,90
921,NBA 2K17,PS4,2016,1.25,0.27,0.02,0.34,1.88,88.0,47,6.7,162
925,Star Fox Adventures,GC,2002,0.96,0.53,0.3,0.09,1.87,82.0,39,7.7,145
927,Madden NFL 25,PS3,2013,1.6,0.03,0.0,0.24,1.87,76.0,19,4.1,91
928,Dynasty Warriors 3,PS2,2001,0.53,0.16,1.07,0.1,1.87,78.0,17,9.1,90
934,The Legend of Dragoon,PS,1999,0.94,0.44,0.39,0.1,1.86,74.0,12,8.4,248
936,Star Wars: The Force Unleashed,Wii,2008,1.11,0.56,0.0,0.18,1.86,71.0,18,7.9,75
938,Just Cause 3,PS4,2015,0.47,1.03,0.07,0.28,1.86,73.0,42,6.5,403
939,Chrono Cross,PS,1999,0.62,0.42,0.69,0.12,1.86,94.0,16,8.1,297
940,Jak 3,PS2,2004,1.33,0.49,0.0,0.03,1.85,84.0,55,8.6,246
941,Kingdom Hearts: Chain of Memories,GBA,2004,1.26,0.18,0.35,0.06,1.85,76.0,37,7.9,84
943,Max Payne 3,PS3,2012,0.59,0.89,0.06,0.3,1.85,87.0,31,7.8,790
945,LEGO Marvel Super Heroes,PS3,2013,0.77,0.76,0.01,0.29,1.84,82.0,22,7.9,76
949,Rayman Raving Rabbids 2,Wii,2007,0.82,0.82,0.0,0.2,1.83,67.0,25,8.3,66
952,Kirby: Triple Deluxe,3DS,2014,0.61,0.34,0.79,0.09,1.83,80.0,68,8.8,206
958,inFAMOUS 2,PS3,2011,1.05,0.47,0.08,0.22,1.82,83.0,90,8.4,932
959,World of Warcraft: Mists of Pandaria,PC,2012,0.84,0.76,0.0,0.22,1.82,82.0,42,4.8,1265
962,The Sims: Hot Date,PC,2001,1.81,0.0,0.0,0.0,1.82,85.0,17,7.9,70
963,Demon's Souls,PS3,2009,0.97,0.33,0.35,0.17,1.82,89.0,81,8.9,1441
964,The Orange Box,X360,2007,1.09,0.53,0.02,0.17,1.82,96.0,54,8.9,797
967,Virtua Fighter 4,PS2,2002,0.78,0.44,0.56,0.04,1.81,94.0,36,8,84
968,Mafia III,PS4,2016,0.42,1.08,0.03,0.28,1.81,68.0,66,5.1,1147
969,Sly 2: Band of Thieves,PS2,2004,0.88,0.69,0.0,0.23,1.81,88.0,64,9,178
972,Madden NFL 07,X360,2006,1.66,0.0,0.01,0.13,1.8,80.0,54,6,148
974,NBA 2K11,PS3,2010,1.41,0.2,0.03,0.16,1.8,89.0,46,7.6,105
975,Forza Motorsport 6,XOne,2015,0.73,0.9,0.03,0.14,1.8,87.0,85,7.9,863
976,The Evil Within,PS4,2014,0.55,0.86,0.11,0.27,1.79,75.0,65,7.3,1223
977,Metroid Prime 3: Corruption,Wii,2007,0.89,0.74,0.07,0.09,1.79,90.0,62,8.9,491
984,50 Cent: Bulletproof,PS2,2005,0.85,0.76,0.0,0.16,1.77,47.0,21,6.6,129
995,Golden Sun,GBA,2001,0.93,0.38,0.4,0.06,1.76,91.0,29,9.3,198
998,Def Jam: Fight for NY,PS2,2004,0.86,0.67,0.0,0.22,1.76,83.0,46,8.9,73
1005,Star Wars: Battlefront,XB,2004,1.24,0.45,0.0,0.07,1.75,80.0,55,9.1,57
1007,Madden NFL 17,PS4,2016,1.25,0.17,0.0,0.32,1.75,82.0,35,4.9,83
1008,Just Cause 2,PS3,2010,0.45,0.92,0.06,0.32,1.75,83.0,66,8,291
1014,Crackdown,X360,2007,1.0,0.53,0.03,0.18,1.75,83.0,75,8,340
1015,Wii Party U,WiiU,2013,0.3,0.56,0.84,0.05,1.75,65.0,38,6.8,135
1020,Xenosaga Episode I: Der Wille zur Macht,PS2,2002,0.63,0.49,0.45,0.17,1.74,83.0,35,8.7,99
1022,Kinect Star Wars,X360,2012,1.05,0.52,0.03,0.14,1.74,55.0,61,3.5,145
